id,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,genus,subgenus,recordedBy,associatedCollectors,eventDate,year,month,day,startDayOfYear,habitat,substrate,country,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,minimumElevationInMeters,maximumElevationInMeters,references
4306534,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Metatrichia vesparium,643202,Metatrichia,,"Carroll, A.J.",,12/13/40,1940,12,13,348,Ravine slope,Decayed beech log,United States,Ohio,Hamilton,Cincinnati,Mt. Airy Forest,39.165058,-84.574945,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306534
4306535,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia vesparium,638846,Hemitrichia,,"Keuse, H.O.",,12/30/47,1947,12,30,364,Woods,Decayed log,United States,Ohio,Hamilton,Cincinnati,Mt. Airy Forest,39.165058,-84.574945,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306535
4306537,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia stipitata,638842,Hemitrichia,,"Ayers, John H.",,7/28/32,1932,7,28,210,,Old log,United States,Ohio,Hamilton,Cincinnati,Kroger Hills (Kroger Hills State Reserve),39.15006,-84.324938,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306537
4306538,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia stipitata,638842,Hemitrichia,,"Ayers, John H.",,10/2/31,1931,10,2,275,,Rotten log,United States,Ohio,Hamilton,Cincinnati,Kroger Hills (Kroger Hills State Reserve),39.15006,-84.324938,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306538
4306539,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia stipitata,638842,Hemitrichia,,"Ayers, John H.",,1932-08-00,1932,8,0,,,Rotten wood,United States,Ohio,Hamilton,,"Hamilton County, Ohio",39.195531,-84.542775,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306539
4306540,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia vesparium,638846,Hemitrichia,,"Casterline, J.",,1947-12-00,1947,12,0,,Woods,On dead log,United States,Ohio,Hamilton,Cincinnati,Mt. Airy Forest,39.165058,-84.574945,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306540
4306541,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia serpula,638838,Hemitrichia,,"Ayers, John H.",,10/15/32,1932,10,15,289,,Bark on rotten log,United States,Ohio,Hamilton,Cincinnati,College Hill,39.20228,-84.547166,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306541
4306542,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia serpula,638838,Hemitrichia,,"Ayers, John H.",,4/2/32,1932,4,2,93,,Leaf,United States,Ohio,Hamilton,Cincinnati,"Cincinnati, Given Road",39.162004,-84.456886,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306542
4306543,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia vesparium,638846,Hemitrichia,,"West, Mary Lou",,10/16/45,1945,10,16,289,,Decaying wood,United States,Ohio,Hamiltion,Cincinnati,Kroger Hills (Kroger Hills State Reserve),39.15006,-84.324938,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306543
4306544,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia vesparium,638846,Hemitrichia,,"Lillick, Lois",,10/1/32,1932,10,1,275,,Dead log,United States,Ohio,Adams,Beaver Pond,Beaver Pond,38.939515,-83.346299,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306544
4306545,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia stipitata,638842,Hemitrichia,,"Ayers, John H.",,10/7/33,1933,10,7,280,,Old log,United States,Ohio,Hamilton,Dunlap,Near Dunlap,39.292279,-84.618002,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306545
4306546,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia stipitata,638842,Hemitrichia,,"Ayers, John H.",,9/24/32,1932,9,24,268,,Rotten wood,United States,Ohio,Hamilton,Cincinnati,Hazelwood,39.266169,-84.362996,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306546
4306547,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia stipitata,638842,Hemitrichia,,"Cooke, William Bridge",,9/19/22,1922,9,19,262,,Dead wood,United States,Ohio,Highland,Seven Caves,Seven Caves (Highlands Nature Sanctuary),39.344508,-83.59742,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306547
4306548,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia serpula,638838,Hemitrichia,,"Ayers, John H.",,11/5/32,1932,11,5,310,,Rotten log,United States,Ohio,Hamilton,Cincinnati,"Cincinnati, California",39.065339,-84.423274,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306548
4306549,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia stipitata,638842,Hemitrichia,,"Ayers, John H.",,9/24/32,1932,9,24,268,,Rotten log,United States,Ohio,Hamilton,Cincinnati,Hazelwood,39.266169,-84.362996,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306549
4306550,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia serpula,638838,Hemitrichia,,"Hopkins, W.C.",,10/13/38,1938,10,13,286,,Dead wood,United States,Ohio,Hamilton,Cincinnati,"Cincinnati, California",39.065339,-84.423274,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306550
4306551,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia vesparium,638846,Hemitrichia,,"West, Mary Lou",,1945-10-00,1945,10,0,,,Wood,United States,Ohio,Clermont,,"Wilson's Farm (Clermont County, Ohio)",39.047433,-84.151918,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306551
4306552,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia serpula,638838,Hemitrichia,,"Johnson, Louise",,10/16/38,1938,10,16,289,Mixed mesophytic woods,Decaying log,United States,Ohio,Adams,Mineral Springs,Mineral Springs,38.887016,-83.329354,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306552
4306553,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia serpula,638838,Hemitrichia,,"Ayers, John H.",,4/2/32,1932,4,2,93,,Leaf,United States,Ohio,Hamilton,Cincinnati,"Cincinnati, Given Road",39.162004,-84.456886,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306553
4306554,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia stipitata,638842,Hemitrichia,,"Ayers, John H.",,11/5/32,1932,11,5,310,,Rotten wood,United States,Ohio,Hamilton,Cincinnati,"Cincinnati, California",39.065339,-84.423274,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306554
4306555,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia stipitata,638842,Hemitrichia,,"Cooke, William Bridge",,7/3/32,1932,7,3,185,,Loam,United States,Ohio,Clermont,Branch Hill,South Branch Hill,39.24617,-84.293271,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306555
4306557,Protozoa|Myxomycota|Myxomycetes|Trichiales,Protozoa,Myxomycota,Myxomycetes,Trichiales,Trichiaceae,Hemitrichia serpula,638838,Hemitrichia,,"Clermont, L.",,10/16/38,1938,10,16,289,Ravine,Wet bark of dead log,United States,Ohio,Adams,Mineral Springs,Mineral Springs,38.887016,-83.329354,,,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4306557
